,Hotel_Name,Average_Score,count
0,Ritz Paris,9.8,28
1,H10 Casa Mimosa 4 Sup,9.6,116
2,H tel de La Tamise Esprit de France,9.6,61
3,41,9.6,103
4,Hotel The Serras,9.6,213
5,Haymarket Hotel,9.6,121
6,Hotel Casa Camper,9.6,301
7,Taj 51 Buckingham Gate Suites and Residences,9.5,133
8,Milestone Hotel Kensington,9.5,86
9,Ham Yard Hotel,9.5,141
10,Hotel Sacher Wien,9.5,130
11,Le Narcisse Blanc Spa,9.5,57
12,Waldorf Astoria Amsterdam,9.5,142
13,Mercer Hotel Barcelona,9.5,146
14,The Soho Hotel,9.5,157
15,Hotel The Peninsula Paris,9.5,58
16,Charlotte Street Hotel,9.5,141
17,Palais Coburg Residenz,9.5,16
18,Catalonia Square 4 Sup,9.4,437
19,Shangri La Hotel at The Shard London,9.4,1113
20,The Wittmore Adults Only,9.4,85
21,Batty Langley s,9.4,345
22,Corinthia Hotel London,9.4,213
23,La Chambre du Marais,9.4,88
24,Catalonia Magdalenes,9.4,311
25,The Beaumont Hotel,9.4,120
26,Nolinski Paris,9.4,113
27,Rosewood London,9.4,390
28,The Toren,9.4,400
29,Hotel Sans Souci Wien,9.4,235
30,The Savoy,9.4,540
31,Hotel Margot House,9.4,86
32,Lansbury Heritage Hotel,9.4,40
33,Covent Garden Hotel,9.4,74
34,Splendide Royal Paris,9.4,16
35,The Lanesborough,9.4,31
36,Hotel Monge,9.4,115
37,The Goring,9.4,102
38,45 Park Lane Dorchester Collection,9.4,28
39,The One Barcelona GL,9.4,85
40,Boutiquehotel Das Tyrol,9.4,139
41,H tel D Aubusson,9.4,294
42,Intercontinental London The O2,9.4,2551
43,Excelsior Hotel Gallia Luxury Collection Hotel,9.4,310
44,Pillows Anna van den Vondel Amsterdam,9.4,56
45,The Guesthouse Vienna,9.4,292
46,Hotel Palace GL,9.4,357
47,Best Western Premier Kaiserhof Wien,9.4,334
48,Hotel Eiffel Blomet,9.4,15
49,Goralska R sidences H tel Paris Bastille,9.4,24
50,Hotel Am Stephansplatz,9.3,135
51,H tel Square Louvois,9.3,72
52,Monument Hotel,9.3,241
53,South Place Hotel,9.3,326
54,Small Luxury Hotel Altstadt Vienna,9.3,173
55,Le Tsuba Hotel,9.3,57
56,H tel Saint Marc,9.3,76
57,Hotel K nig von Ungarn,9.3,268
58,Bulgari Hotel London,9.3,37
59,Le 123 S bastopol Astotel,9.3,130
60,The Nadler Victoria,9.3,601
61,Hotel Spadari Al Duomo,9.3,243
62,The Ritz London,9.3,406
63,Le Relais Montmartre,9.3,182
64,Claridge s,9.3,157
65,COMO The Halkin,9.3,29
66,Canal House,9.3,184
67,The Montague On The Gardens,9.3,414
68,Park Hyatt Vienna,9.3,92
69,H tel Le Royal Monceau Raffles Paris,9.3,22
70,Olivia Plaza Hotel,9.3,773
71,Hotel Dupond Smith,9.3,23
72,Hotel Cafe Royal,9.3,364
73,The LaLit London,9.3,62
74,Mill sime H tel,9.3,167
75,Hotel Rathaus Wein Design,9.3,338
76,Le Meurice,9.3,40
77,Olivia Balmes Hotel,9.3,510
78,Egerton House,9.3,76
79,Shangri La Hotel Paris,9.3,46
80,The Hoxton Amsterdam,9.3,409
81,Hotel DO Pla a Reial G L ,9.3,101
82,Hotel Plaza Athenee Paris,9.3,36
83,Four Seasons Hotel London at Park Lane,9.3,91
84,Maison Souquet,9.3,91
85,Four Seasons Hotel George V Paris,9.3,121
86,Palazzo Parigi Hotel Grand Spa Milano,9.3,122
87,Luxury Suites Amsterdam,9.3,229
88,Victoire Germain,9.3,53
89,The Langham London,9.3,559
90,Amba Hotel Charing Cross,9.3,785
91,H tel Le Relais Saint Germain,9.3,40
92,H tel Fabric,9.3,103
93,Hollmann Beletage Design Boutique,9.3,102
94,The Connaught,9.3,45
95,Aparthotel Arai 4 Superior,9.3,205
96,The Zetter Townhouse Marylebone,9.3,82
97,H10 Cubik 4 Sup,9.3,382
98,Hilton London Bankside,9.3,893
99,The Corner Hotel,9.3,103
100,Andaz Amsterdam Prinsengracht A Hyatt Hotel,9.3,214
101,Room Mate Giulia,9.3,521
102,Ambassade Hotel,9.3,551
103,UNA Maison Milano,9.3,320
104,The Ned,9.3,257
105,Montcalm Royal London House City of London,9.2,715
106,Hotel Le 10 BIS,9.2,49
107,Hotel Indigo London Tower Hill,9.2,346
108,Staybridge Suites London Vauxhall,9.2,244
109,Staybridge Suites London Stratford,9.2,490
110,Palais Hansen Kempinski Vienna,9.2,196
111,Primero Primera,9.2,71
112,One Aldwych,9.2,136
113,Okko Hotels Paris Porte De Versailles,9.2,43
114,Hotel Design Secret de Paris,9.2,93
115,Draycott Hotel,9.2,129
116,Hotel de Seze,9.2,80
117,Hotel Berna,9.2,1052
118,Grand H tel Du Palais Royal,9.2,206
119,La Maison Favart,9.2,127
120,Hotel Whistler,9.2,28
121,La Villa Haussmann,9.2,41
122,Conservatorium Hotel,9.2,138
123,Hotel Imperial A Luxury Collection Hotel,9.2,77
124,The Harmonie Vienna,9.2,206
125,Sixtytwo Hotel,9.2,233
126,Sofitel Legend The Grand Amsterdam,9.2,195
127,Catalonia Passeig de Gr cia 4 Sup,9.2,500
128,Sofitel London St James,9.2,352
129,Le 123 Elysees Astotel,9.2,53
130,Catalonia Catedral,9.2,488
131,Hotel Kaiserin Elisabeth,9.2,388
132,Bulgari Hotel Milano,9.2,17
133,The Hari London,9.2,235
134,Hotel 1898,9.2,432
135,The Henrietta Hotel,9.2,27
136,ME London by Melia,9.2,471
137,Alma Barcelona GL,9.2,179
138,H tel Moli re,9.2,124
139,Mandarin Oriental Milan,9.2,34
140,H10 Port Vell 4 Sup,9.2,359
141,Banks Mansion All Inclusive Hotel,9.2,353
142,H10 Metropolitan 4 Sup,9.2,514
143,Hotel Neri,9.2,76
144,Hotel Santa Marta Suites,9.2,177
145,Le Pavillon de la Reine Spa,9.2,119
146,Apex Temple Court Hotel,9.2,1037
147,Hotel Op ra Richepanse,9.2,242
148,B Montmartre,9.2,90
149,Appartement Hotel an der Riemergasse,9.2,225
150,ME Milan Il Duca,9.2,142
151,Hotel Manzoni,9.2,206
152,Armani Hotel Milano,9.2,156
153,The Hoxton Holborn,9.2,755
154,Hotel Midmost,9.2,108
155,The Yard Milano,9.2,181
156,The Zetter Townhouse Clerkenwell,9.1,31
157,Hotel Indigo London Kensington,9.1,353
158,Grand Pigalle Hotel,9.1,114
159,H tel Amastan Paris,9.1,34
160,Conrad London St James,9.1,358
161,H10 Urquinaona Plaza,9.1,488
162,Hotel Esther a,9.1,1837
163,Apex London Wall Hotel,9.1,437
164,Grand Hotel et de Milan,9.1,78
165,The Stafford London,9.1,200
166,De L Europe Amsterdam,9.1,137
167,Hotel Indigo Paris Opera,9.1,115
168,Room Mate Anna,9.1,293
169,Hotel d Orsay Esprit de France,9.1,211
170,Hotel du Petit Moulin,9.1,66
171,Rocco Forte Brown s Hotel,9.1,49
172,Hotel Capricorno,9.1,511
173,Park Hyatt Milano,9.1,115
174,Maison Borella,9.1,130
175,Hidden Hotel by Elegancia,9.1,80
176,citizenM Tower of London,9.1,1683
177,Four Seasons Hotel Milano,9.1,44
178,citizenM London Shoreditch,9.1,838
179,citizenM London Bankside,9.1,1517
180,Hotel Parc Saint Severin Esprit de France,9.1,162
181,Idol Hotel,9.1,104
182,Gallery Hotel,9.1,232
183,Pulitzer Amsterdam,9.1,300
184,Hotel Principe Di Savoia,9.1,280
185,Mandarin Oriental Paris,9.1,21
186,Edouard 7 Paris Op ra,9.1,184
187,M by Montcalm Shoreditch London Tech City,9.1,2155
188,Ohla Eixample,9.1,250
189,Duquesa Suites Barcelona,9.1,281
190,Hotel Bristol A Luxury Collection Hotel,9.1,60
191,Number Sixteen,9.1,87
192,Hotel le Lapin Blanc,9.1,152
193,Relais Christine,9.1,92
194,Knightsbridge Hotel,9.1,173
195,Hotel Stefanie,9.1,884
196,Residence Henri IV,9.1,171
197,The Rookery,9.1,261
198,H tel Ad le Jules,9.1,89
199,My Home In Paris,9.1,82
200,Mondrian London,9.1,1593
201,Strandhotel Alte Donau,9.1,41
202,Le G n ral H tel,9.1,122
203,Hotel La Villa Saint Germain Des Pr s,9.1,51
204,Bradford Elys es Astotel,9.1,82
205,Hotel V Fizeaustraat,9.1,401
206,H tel Da Vinci Spa,9.1,146
207,The Ampersand Hotel,9.1,382
208,The Arch London,9.1,191
209,H tel R de Paris Boutique Hotel,9.1,113
210,Hotel Villa Emilia,9.1,193
211,The Berkeley,9.1,100
212,Hotel V Nesplein,9.1,520
213,Montagu Place Hotel,9.1,111
214,The London EDITION,9.1,141
215,Le Burgundy Paris,9.1,161
216,The Chesterfield Mayfair,9.1,482
217,Hotel Le Six,9.1,63
218,H tel Regent s Garden,9.1,91
219,The Dylan Amsterdam,9.1,104
220,H tel Keppler,9.1,95
221,The Dorchester Dorchester Collection,9.1,225
222,The Curtain,9.1,30
223,H tel L Echiquier Op ra Paris MGallery by Sofitel,9.1,139
224,The Levin Hotel,9.1,63
225,Room Mate Gerard,9.0,14
226,Hotel de Nell,9.0,81
227,H tel Duc De St Simon,9.0,115
228,H tel La Comtesse by Elegancia,9.0,111
229,BoB Hotel by Elegancia,9.0,49
230,Hotel Casa Fuster G L Monumento,9.0,225
231,H tel Regina,9.0,372
232,Dorset Square Hotel,9.0,123
233,Grand Hotel Wien,9.0,262
234,The Hoxton Shoreditch,9.0,679
235,Le Cinq Codet,9.0,257
236,Bianca Maria Palace Hotel,9.0,520
237,Hotel Monsieur,9.0,180
238,DO CO Hotel Vienna,9.0,154
239,Baglioni Hotel London The Leading Hotels of the World,9.0,114
240,Steigenberger Hotel Herrenhof,9.0,521
241,Hotel Landhaus Fuhrgassl Huber,9.0,71
242,Le Grey Hotel,9.0,76
243,Hotel Clerici,9.0,111
244,Prince de Galles a Luxury Collection hotel Paris,9.0,40
245,InterContinental Amstel Amsterdam,9.0,34
246,The Capital,9.0,145
247,The Bloomsbury Hotel,9.0,538
248,Hazlitt s,9.0,241
249,Le Pavillon des Lettres,9.0,40
250,Acad mie H tel Saint Germain,9.0,255
251,The Nadler Kensington,9.0,491
252,Hotel La Lanterne,9.0,96
253,Hotel Moonlight,9.0,285
254,Ohla Barcelona,9.0,367
255,The Nadler Soho,9.0,491
256,Radisson Blu Edwardian New Providence Wharf,9.0,1148
257,Terrass H tel Montmartre by MH,9.0,201
258,art otel Amsterdam,9.0,790
259,Mandarin Oriental Barcelona,9.0,77
260,Hilton London Canary Wharf,9.0,1541
261,St Paul s Hotel,9.0,381
262,St Martins Lane A Morgans Original,9.0,492
263,Senato Hotel Milano,9.0,204
264,H tel Baume,9.0,88
265,Hotel Well and Come,9.0,375
266,H tel Barri re Le Fouquet s,9.0,35
267,Landmark London,9.0,405
268,The Piccadilly London West End,9.0,1125
269,Hotel J ger,9.0,40
270,COMO Metropolitan London,9.0,143
271,La Clef Tour Eiffel,9.0,315
272,Sir Adam Hotel,9.0,107
273,COQ Hotel Paris,9.0,258
274,H tel Recamier,9.0,44
275,The Westbridge Hotel,9.0,588
276,H tel de Jos phine BONAPARTE,9.0,76
277,The Wellesley Knightsbridge a Luxury Collection Hotel London,9.0,77
278,H tel Crayon Rouge by Elegancia,9.0,82
279,Snob Hotel by Elegancia,9.0,60
280,Hotel Am Parkring,9.0,431
281,Artus Hotel by MH,9.0,58
282,The Square Milano Duomo,9.0,898
283,Ch teau Monfort Relais Ch teaux,9.0,227
284,Sofitel Vienna Stephansdom,9.0,176
285,Hotel Xenia Autograph Collection,9.0,296
286,Antica Locanda Dei Mercanti,9.0,82
287,Andaz London Liverpool Street,9.0,519
288,Hotel Magna Pars Small Luxury Hotels of the World,9.0,83
289,H tel Th r se,9.0,132
290,Le Pigalle Hotel,9.0,42
291,Novotel London Canary Wharf,9.0,146
292,Crowne Plaza Amsterdam South,9.0,268
293,The Ring Vienna s Casual Luxury Hotel,9.0,210
294,Saint SHERMIN bed breakfast champagne,9.0,164
295,Apex City Of London Hotel,9.0,1049
296,San Domenico House,9.0,122
297,Sanderson A Morgans Hotel,9.0,324
298,Le Roch Hotel Spa,9.0,23
299,NH Collection Barcelona Podium,8.9,146
300,NH Collection Wien Zentrum,8.9,314
301,Majestic Hotel Spa Barcelona GL,8.9,455
302,Palazzo Segreti,8.9,68
303,Maison Albar Hotel Paris C line,8.9,62
304,Hotel Amadeus,8.9,144
305,H tel Saint Paul Rive Gauche,8.9,45
306,H tel Thoumieux,8.9,37
307,H tel Aiglon Esprit de France,8.9,202
308,Le A,8.9,91
309,Legend Saint Germain by Elegancia,8.9,78
310,Hotel Barcelona Catedral,8.9,870
311,H tel De Buci by MH,8.9,58
312,Hotel Beethoven Wien,8.9,162
313,Hotel Bagu s,8.9,119
314,Grand Hotel Central,8.9,298
315,London Marriott Hotel West India Quay,8.9,1481
316,London City Suites,8.9,740
317,Nu Hotel,8.9,115
318,La Villa Maillot,8.9,77
319,Great Northern Hotel A Tribute Portfolio Hotel London,8.9,620
320,Negresco Princess 4 Sup,8.9,520
321,Park Hyatt Paris Vendome,8.9,29
322,Lyric H tel Paris,8.9,97
323,H tel Original Paris,8.9,30
324,H tel de Lille,8.9,144
325,K K Hotel Picasso,8.9,434
326,H tel Exquis by Elegancia,8.9,157
327,H tel Bourgogne Montana by MH,8.9,127
328,Novotel London Wembley,8.9,1251
329,Courthouse Hotel Shoreditch,8.9,259
330,The Portobello Hotel,8.9,99
331,Room Mate Carla,8.9,229
332,Hotel Le Sainte Beuve,8.9,49
333,Das Opernring Hotel,8.9,209
334,The Kings Head Hotel,8.9,86
335,Hotel Malte Astotel,8.9,26
336,Hotel Saint Petersbourg Opera,8.9,383
337,The Royal Horseguards,8.9,974
338,St George s Hotel Wembley,8.9,1212
339,Camperio House Suites Apartments,8.9,151
340,Austria Trend Hotel Savoyen Vienna,8.9,713
341,The Ritz Carlton Vienna,8.9,120
342,Canary Riverside Plaza Hotel,8.9,138
343,Vincci Gala,8.9,167
344,The Laslett,8.9,250
345,Derby Alma,8.9,140
346,The Marylebone Hotel,8.9,677
347,Schlosshotel R mischer Kaiser,8.9,301
348,St Ermin s Hotel Autograph Collection,8.9,384
349,Splendid Etoile,8.9,127
350,Select Hotel,8.9,256
351,Vincci Mae,8.9,106
352,Hotel Omm,8.9,133
353,Hotel Les Bains Paris,8.9,35
354,The Montcalm Marble Arch,8.9,1061
355,Col n Hotel Barcelona,8.9,396
356,Club Quarters Hotel Lincoln s Inn Fields,8.9,1139
357,XO Hotel,8.9,13
358,Chasse Hotel,8.9,139
359,Hotel L Antoine,8.9,171
360,Hotel Spa La Belle Juliette,8.9,71
361,INK Hotel Amsterdam MGallery by Sofitel,8.9,876
362,Hotel VIU Milan,8.9,58
363,The Chamberlain,8.9,969
364,Park Plaza London Park Royal,8.9,197
365,Falkensteiner Hotel Wien Margareten,8.9,167
366,Jaz Amsterdam,8.9,1157
367,Hotel Le Mareuil,8.9,47
368,Hotel Das Tigra,8.9,358
369,Best Western Premier Kapital Op ra,8.9,277
370,Hotel Okura Amsterdam,8.9,459
371,Element Amsterdam,8.9,298
372,Pullman London St Pancras,8.9,1241
373,The Zetter Hotel,8.9,177
374,Chambiges Elys es,8.9,193
375,Starhotels Echo,8.9,593
376,Relais Du Louvre,8.9,88
377,Hotel Villa Saxe Eiffel,8.9,80
378,The Westbourne Hyde Park,8.9,275
379,Drawing Hotel,8.9,14
380,Hotel mbit Barcelona,8.9,316
381,Boutique H tel Konfidentiel,8.9,19
382,Arbor City,8.9,781
383,Duquesa de Cardona,8.9,264
384,Hotel Domizil,8.9,225
385,Relais H tel du Vieux Paris,8.9,156
386,H tel Les Dames du Panth on,8.8,70
387,Hotel Murmuri Barcelona,8.8,90
388,Molitor Paris MGallery by Sofitel,8.8,73
389,Le Marquis Eiffel,8.8,121
390,H tel Le Walt,8.8,63
391,Hotel Le petit Paris,8.8,57
392,The Drayton Court Hotel,8.8,391
393,The Franklin Hotel Starhotels Collezione,8.8,28
394,H tel Madison by MH,8.8,101
395,H tel Lancaster Paris Champs Elys es,8.8,80
396,Crowne Plaza Barcelona Fira Center,8.8,120
397,The Montcalm At Brewery London City,8.8,1317
398,Baglioni Hotel Carlton The Leading Hotels of the World,8.8,153
399,Upper Diagonal,8.8,138
400,UNA Hotel Cusani,8.8,264
401,Hilton London Wembley,8.8,2227
402,Threadneedles Autograph Collection,8.8,196
403,London Marriott Hotel Park Lane,8.8,78
404,Hotel Schani Wien,8.8,409
405,H10 Art Gallery 4 Sup,8.8,323
406,H tel du Minist re,8.8,206
407,Hotel Milano Scala,8.8,263
408,H tel des Academies et des Arts,8.8,50
409,H tel de la Bourdonnais,8.8,362
410,Les Plumes Hotel,8.8,113
411,Hotel Seven One Seven,8.8,17
412,Les Jardins De La Villa Spa,8.8,108
413,Megaro Hotel,8.8,800
414,Le Tourville Eiffel,8.8,140
415,Le Saint Hotel Paris,8.8,42
416,Austria Trend Hotel Anatol Wien,8.8,150
417,Hotel Maison Ath n e,8.8,91
418,Austria Trend Hotel Park Royal Palace Vienna,8.8,440
419,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,8.8,29
420,Hotel Vignon,8.8,119
421,Mercure Vienna First,8.8,79
422,Adria Boutique Hotel,8.8,231
423,H tel Paris Bastille Boutet MGallery by Sofitel,8.8,63
424,Ayre Hotel Gran V a,8.8,797
425,Le Pradey,8.8,59
426,Hotel Pulitzer,8.8,495
427,Hotel Vueling Bcn by HC,8.8,322
428,H tel Gustave,8.8,165
429,Hotel Erzherzog Rainer,8.8,601
430,La Maison Champs Elys es,8.8,79
431,Crowne Plaza London Docklands,8.8,1579
432,Royal Garden Hotel,8.8,874
433,Hotel Barcelona Universal,8.8,253
434,A La Villa Madame,8.8,41
435,D clic Hotel,8.8,59
436,Grand Hotel Saint Michel,8.8,155
437,Der Wilhelmshof,8.8,254
438,Room Mate Aitana,8.8,916
439,9Hotel Republique,8.8,183
440,Novotel Suites Paris Expo Porte de Versailles,8.8,228
441,L H tel,8.8,79
442,Doubletree By Hilton London Greenwich,8.8,972
443,The Cavendish London,8.8,416
444,Hyatt Regency Amsterdam,8.8,67
445,Hotel Des Saints Peres Esprit de France,8.8,105
446,Glam Milano,8.8,1335
447,every hotel Piccadilly,8.8,568
448,Pol Grace Hotel,8.8,400
449,Hotel De Hallen,8.8,355
450,Maison Albar Hotel Paris Op ra Diamond,8.8,290
451,25hours Hotel beim MuseumsQuartier,8.8,689
452,Hotel Daniel Paris,8.8,12
453,InterContinental Paris Le Grand,8.8,150
454,Park Plaza London Waterloo,8.8,552
455,Park Grand London Lancaster Gate,8.8,556
456,Crowne Plaza London Battersea,8.8,589
457,Hotel Georgette,8.8,51
458,Catalonia Port,8.8,178
459,Hotel Bachaumont,8.8,156
460,The Beaufort,8.8,210
461,Ten Manchester Street Hotel,8.8,218
462,TWO Hotel Barcelona by Axel 4 Sup Adults Only,8.8,522
463,Hotel Villa Lafayette Paris IX,8.8,25
464,Morgan Mees,8.8,149
465,St Pancras Renaissance Hotel London,8.8,1147
466,Buddha Bar Hotel Paris,8.8,117
467,NH Collection Amsterdam Doelen,8.8,316
468,NH Collection Barcelona Gran Hotel Calder n,8.8,189
469,Capri by Fraser Barcelona,8.8,518
470,Catalonia Born,8.8,439
471,Sofitel Paris Arc De Triomphe,8.8,194
472,Hotel JL No76,8.8,312
473,Amp re,8.8,172
474,Sir Albert Hotel,8.8,335
475,NYX Milan,8.8,180
476,Hotel Ares Eiffel,8.8,212
477,Hotel West End,8.8,129
478,Nell Hotel Suites,8.8,45
479,Grange Wellington Hotel,8.8,428
480,Hotel Arts Barcelona,8.8,312
481,Newhotel Roblin,8.8,271
482,Cotton House Hotel Autograph Collection,8.8,48
483,Hotel Granados 83,8.8,135
484,ABaC Restaurant Hotel Barcelona GL Monumento,8.8,31
485,Hotel Palais Strudlhof,8.7,134
486,Hotel Miramar Barcelona GL,8.7,229
487,Hotel Saint Dominique,8.7,121
488,Hotel Champs Elys es Friedland by Happyculture,8.7,105
489,Hilton London Tower Bridge,8.7,801
490,Hotel America Barcelona,8.7,54
491,Hotel Casa Bonay,8.7,360
492,K K Hotel Maria Theresia,8.7,564
493,Hyatt Regency London The Churchill,8.7,256
494,Hotel Espa a Ramblas,8.7,670
495,Hotel Zeitgeist Vienna Hauptbahnhof,8.7,100
496,Hotel Atmospheres,8.7,155
497,LaGare Hotel Milano Centrale MGallery by Sofitel,8.7,499
498,Hotel Indigo London Paddington,8.7,268
499,Hotel Chavanel,8.7,14
500,London Bridge Hotel,8.7,167
501,Holiday Inn Vienna City,8.7,66
502,Hotel Verneuil Saint Germain,8.7,75
503,Hotel Topazz,8.7,160
504,Le Relais Madeleine,8.7,87
505,Holiday Inn London Stratford City,8.7,994
506,Hotel Lumen Paris Louvre,8.7,70
507,Hotel Maison FL,8.7,102
508,Hotel Marignan Champs Elys es,8.7,162
509,Hotel Lam e,8.7,171
510,11 Cadogan Gardens,8.7,159
511,Hotel Park Lane Paris,8.7,154
512,Novotel London Blackfriars,8.7,428
513,The Bailey s Hotel London,8.7,1018
514,Best Western Premier Hotel Couture,8.7,1809
515,Gran Hotel La Florida,8.7,188
516,The Chess Hotel,8.7,235
517,The Kensington Hotel,8.7,333
518,Grange City Hotel,8.7,405
519,Balmoral Champs Elys es,8.7,114
520,Novotel London City South,8.7,312
521,Grange Tower Bridge Hotel,8.7,690
